company_norm,total_outlets,regions_count,mmdas_count,wholesale_outlets,retail_outlets,regions_list
J-Mall Pharmacy Limited,2,1,2,0,2,Brong Ahafo
St Kem Pharmacy,2,2,2,0,2,"Ashanti, Greater Accra"
I'S And J'S Pharmacy Limited,2,1,1,0,2,Central
Ikehorn Chemists,2,1,1,0,2,Greater Accra
Destiny Command Chemist,2,1,2,1,1,Greater Accra
Spring Time Pharmacy,2,1,2,0,2,Greater Accra
Maxtak Pharmacy Limited,2,1,1,2,0,Greater Accra
Baseline Limited,2,2,2,2,0,"Ashanti, Greater Accra"
Hymall Pharmacy,2,2,2,0,2,"Ashanti, Greater Accra"
Speed Pharmacy,2,1,2,1,1,Greater Accra
Spectra Pharmacy,2,2,2,0,2,"Greater Accra, Volta"
Oaklex Pharmacy,2,1,1,0,2,Greater Accra
Dewland Chemist,2,1,1,0,2,Greater Accra
Humble Mother Pharmacy Lt,2,1,1,2,0,Ashanti
Bencyn Pharmacy,2,1,2,2,0,Upper East
Nyaho Med. Centre Pharmacy,2,1,1,0,2,Greater Accra
Ilee Pharmacy Limited,2,1,1,1,1,Northern
Medaid Pharmacy,2,1,2,0,2,Greater Accra
Benijax Pharmacy Limited,2,1,1,0,2,Greater Accra
Numark Pharmacy,2,1,1,1,1,Brong Ahafo
Med-Pal Chemist Limited,2,1,1,1,1,Greater Accra
Sadas Chemists,2,1,1,0,2,Greater Accra
Celia Pharmacy,2,1,2,0,2,Greater Accra
Mokat Chemists Limited,2,1,1,2,0,Greater Accra
D & G Pharmacy,2,1,2,0,2,Greater Accra
Saferside Pharmacy,2,1,2,1,1,Greater Accra
Safeway Chemist Limited,2,1,1,2,0,Greater Accra
Modern Care Pharmacy,2,2,2,0,2,"Central, Greater Accra"
Napdel Pharmacy Limited,2,1,2,0,2,Brong Ahafo
Narhsam Pharmacy Limited,2,1,1,0,2,Greater Accra
Habilat Pharmacy,2,2,2,2,0,"Central, Upper West"
Habmay Pharmacy (Atonsu Br,2,1,1,1,1,Ashanti
Hafman Pharmacy,2,1,2,1,1,Northern
Healthview Pharmacy,2,2,2,1,1,"Central, Greater Accra"
Minamo Pharmacy Limited,2,2,2,1,1,"Ashanti, Western"
Dadmum Pharmacy,2,1,1,1,1,Ashanti
Hap-Phil Chemist Limited,2,1,2,0,2,Ashanti
Nat & Sons Pharmacy Limited,2,1,2,2,0,Central
Dagbeneva Pharmacy Limited,2,1,2,1,1,Volta
Midland Chemists Limited,2,1,1,2,0,Greater Accra
Neb Pharmacy,2,1,2,0,2,Greater Accra
Sanford World Clinic Pharma,2,2,2,0,2,"Central, Greater Accra"
Camden Pharmacy,2,1,2,0,2,Greater Accra
Calvary Central Pharmacy,2,1,2,0,2,Greater Accra
Caads Pharmacy,2,1,1,1,1,Greater Accra
C.S. Allot Pharmacy,2,1,2,0,2,Greater Accra
Haga Pharmacy,2,1,2,0,2,Greater Accra
Cobest Pharmacy,2,1,1,0,2,Greater Accra
Romart Pharmacy,2,2,2,0,2,"Central, Greater Accra"
Rockwell Pharmacy,2,1,2,0,2,Greater Accra
Good Example Pharmacy Limited,2,1,2,2,0,Ashanti
Goodbrand Pharmacy,2,1,1,0,2,Western
Rosipac Pharmacy,2,1,1,1,1,Western
Citadel Chemists (Gh) Limited,2,1,1,0,2,Greater Accra
Gopens Pharmacy Limited,2,1,1,1,1,Ashanti
Gn Pharmacy Limited,2,1,2,0,2,Greater Accra
Cisant Pharmacy,2,1,1,2,0,Brong Ahafo
Robbie'S Chemists,2,1,1,0,2,Greater Accra
Royal Care Pharmacy Limited,2,1,2,0,2,Eastern
Cureaid Chemist Limited,2,1,1,0,2,Greater Accra
Christal A & B Chemist Limited,2,1,2,1,1,Ashanti
Royal Dach Pharmacy,2,1,1,2,0,Greater Accra
Criss Pharmacy,2,1,1,0,2,Greater Accra
Ritjei Pharmacy,2,1,2,1,1,Ashanti
Nad Pharmacy,2,1,1,0,2,Greater Accra
Rite Aid Pharmacy,2,1,1,1,1,Volta
Glojoe Pharmacy Limited,2,2,2,0,2,"Central, Greater Accra"
Charmar Pharmacy Limited,2,1,1,0,2,Ashanti
Rightway Pharmacy Limited,2,1,2,2,0,Ashanti
Charget Pharmacy,2,1,1,0,2,Ashanti
Chara Pharmacy Limited,2,1,1,0,2,Greater Accra
Greenlight Pharmacy Limited,2,1,1,2,0,Brong Ahafo
Chaneck Pharmacy,2,1,1,2,0,Western
Crescent Chemist,2,1,2,1,1,Greater Accra
Seraphim Pharmacy,2,1,2,1,1,Brong Ahafo
Healthrite Pharmacy,2,1,1,0,2,Greater Accra
Bn Rx Pharmacy,2,1,2,2,0,Ashanti
Bluestar Pharmacy,2,1,1,0,2,Volta
Bluesky Pharmacy,2,2,2,1,1,"Ashanti, Greater Accra"
Regiben Family Pharmacy,2,1,1,1,1,Central
Healthstar Pharmacy,2,1,2,2,0,Greater Accra
De-Georges Pharmacy Limited,2,1,2,0,2,Greater Accra
The Medipoint Pharmacy,2,1,2,0,2,Greater Accra
Healthwatch Pharmacy,2,1,1,1,1,Greater Accra
Gb Pharma (Gh) Limited,2,2,2,2,0,"Ashanti, Northern"
Shalina Healthcare Ghana Lt,2,2,2,2,0,"Ashanti, Greater Accra"
Revman Pharmacy,2,1,1,0,2,Greater Accra
Sherag Pharmacy Limited,2,1,1,0,2,Ashanti
Heightspharm Pharmacy,2,1,1,0,2,Greater Accra
Helen Pharmacy Limited,2,1,1,2,0,Brong Ahafo
Helijons Pharmacy,2,1,2,0,2,Greater Accra
Hem Pharma Services Limited,2,1,1,1,1,Greater Accra
Simart Pharmaceuticals,2,1,1,1,1,Greater Accra
Simart Pharmacy,2,1,2,0,2,Greater Accra
Medknight Pharmacy Limited,2,1,2,1,1,Central
Simpson Pharmacy,2,2,2,0,2,"Central, Greater Accra"
Decent Pharmacy,2,2,2,1,1,"Greater Accra, Northern"
Skad-D Pharmacy Limited,2,1,1,1,1,Brong Ahafo
Rayoni Pharmacy Limited,2,1,2,0,2,Greater Accra
Beybee Pharmacy Limited,2,1,2,0,2,Greater Accra
Shalina Pharmacy Ghana Limi,2,2,2,2,0,"Northern, Western"
Health Base Pharmacy,2,1,1,0,2,Greater Accra
Neek Royale Pharmacy,2,1,2,0,2,Greater Accra
Dannipharma Limited,2,1,1,2,0,Ashanti
Saqs Pharmacy (Asokwa Bran,2,1,1,0,2,Ashanti
Saqs Pharmacy Limited,2,1,1,1,1,Ashanti
Merkot Pharmacy Company. Limited,2,1,2,1,1,Central
Merkot Pharmacy,2,1,2,1,1,Central
Health Corner Pharmacy Limited,2,1,2,1,1,Greater Accra
Bubune Pharmacy,2,2,2,1,1,"Greater Accra, Volta"
Bubuashie Control Pharmacy,2,1,1,1,1,Greater Accra
Meraki Pharmacy Limited,2,1,1,0,2,Greater Accra
Sawaba Pharmacy,2,1,1,0,2,Ashanti
Septal Chemists,2,1,1,1,1,Greater Accra
Nerjereu Pharmacy Limited,2,1,1,0,2,Greater Accra
Geovikes Pharmacy Limited,2,1,2,1,1,Central
Renerve Pharmacy,2,1,2,0,2,Greater Accra
Meldin Chemist Limited,2,1,1,1,1,Ashanti
Renada Chemist,2,1,2,1,1,Central
Sebatos Pharmacy (Hohoe Br,2,1,1,0,2,Volta
Georuth Pharmacy,2,1,2,1,1,Ashanti
Medsure Pharmacy,2,1,1,0,2,Ashanti
Geoka Pharmacy Limited,2,2,2,1,1,"Eastern, Greater Accra"
Healthline Pharmacy,2,2,2,0,2,"Eastern, Greater Accra"
Healthmark Pharmacy,2,1,2,0,2,Greater Accra
Senes Pharmacy,2,1,1,1,1,Greater Accra
Senti Chemist Limited,2,1,1,1,1,Brong Ahafo
Nelcy Pharmacy,2,1,2,2,0,Western
Wisely Pharmacy,2,1,2,0,2,Central
Lemish Pharmacy,2,1,1,2,0,Greater Accra
Altinatet Pharmacy,2,1,2,0,2,Upper West
Alsons Pharmacy Limited,2,1,2,0,2,Greater Accra
Alpha-Beta Pharmacy,2,1,2,0,2,Greater Accra
Juicy Pharmacy Limited,2,1,1,0,2,Greater Accra
Wimpey Chemists Limited,2,1,1,0,2,Ashanti
Felbet Pharmacy,2,1,2,0,2,Greater Accra
Alpat Pharmacy,2,2,2,0,2,"Central, Volta"
Actikid Pharmacy,2,1,2,1,1,Greater Accra
Amptess Pharmacy Limited,2,1,2,1,1,Ashanti
Acts Pharmacy,2,1,2,0,2,Greater Accra
Adalits Pharmacy,2,1,1,0,2,Greater Accra
Fb Ultimate Pharmacy,2,1,1,2,0,Upper East
Oty'S Pharmacy,2,1,2,1,1,Greater Accra
Vanora Pharmacy,2,1,1,0,2,Greater Accra
Adams Pharmacy,2,1,2,1,1,Ashanti
Juliponia Pharmacy,2,1,1,2,0,Ashanti
Alliance Pharmacy Limited,2,1,2,0,2,Northern
Alldrugs Pharmacy Limited,2,1,2,1,1,Greater Accra
