district,region,population,outlets,wholesale,pharmacies_per_100k,pop_per_pharmacy,hhi
Asante Akim South Municipal,Ashanti,123458.0,6,3,4.85995237246675,20576.333333333332,1667.0
Agortime-Ziope,Volta,40127.0,2,1,4.984175243601565,20063.5,5000.0
Kintampo North Municipal,Bono East,140257.0,7,6,4.990838246932417,20036.714285714286,1837.0
Wassa East,Western,99543.0,5,3,5.022954903910873,19908.6,2000.0
North Dayi,Volta,39642.0,2,1,5.045154129458655,19821.0,5000.0
West Akim Municipal,Eastern,118227.0,6,4,5.074982871932807,19704.5,1667.0
Keta Municipal,Volta,78705.0,4,1,5.08226923321263,19676.25,2500.0
Shama,Western,117189.0,6,2,5.11993446483885,19531.5,1667.0
Mampong Municipal,Ashanti,116733.0,6,3,5.13993472282902,19455.5,2222.0
Gomoa East,Central,308537.0,16,6,5.185763781977526,19283.5625,703.0
South Dayi,Volta,57518.0,3,1,5.2157585451510835,19172.666666666668,3333.0
Akwapim South Municipal,Eastern,76533.0,4,2,5.226503599754355,19133.25,2500.0
Sagnarigu Municipal,Northern,341737.0,18,5,5.267208408805602,18985.38888888889,556.0
Sefwi Wiawso Municipal,Western North,151040.0,8,8,5.296610169491525,18880.0,1250.0
Sekyere East,Ashanti,74747.0,4,3,5.351385339879862,18686.75,2500.0
Asutifi North,Ahafo,73547.0,4,2,5.438699063184086,18386.75,2500.0
Upper Denkyira West,Central,91252.0,5,3,5.479331959847455,18250.4,2000.0
Jomoro Municipal,Western,126315.0,7,6,5.541701302299806,18045.0,1429.0
Sunyani West Municipal,Bono,136042.0,8,4,5.880536893018332,17005.25,1250.0
Mfantsiman Municipal,Central,169299.0,10,6,5.906709431242949,16929.9,1000.0
Ketu South Municipal,Volta,252579.0,15,11,5.938735999429881,16838.6,844.0
Asunafo North Municipal,Ahafo,151233.0,9,5,5.95108210509611,16803.666666666668,1358.0
Sekyere Afram Plains,Ashanti,33173.0,2,0,6.028999487535043,16586.5,5000.0
Birim North,Eastern,82673.0,5,1,6.0479237477773875,16534.6,2000.0
Prestea/Huni Valley Municipal,Western,229014.0,14,8,6.113163387391164,16358.142857142857,714.0
Assin North,Central,80601.0,5,3,6.2033969801863496,16120.2,2800.0
Suhum Municipal,Eastern,126330.0,8,5,6.332620913480566,15791.25,2188.0
Tano North Municipal,Ahafo,93875.0,6,4,6.391478029294274,15645.833333333334,2222.0
Bekwai Municipal,Ashanti,138321.0,9,6,6.506604203266315,15369.0,1111.0
Ada East,Greater Accra,76717.0,5,4,6.517460276079618,15343.4,2000.0
Bibiani Anhwiaso Bekwai Municipal,Western North,168055.0,11,11,6.545476183392342,15277.727272727272,909.0
Offinso Municipal,Ashanti,137496.0,9,3,6.545644964217142,15277.333333333334,1111.0
Asante Akim Central Municipal,Ashanti,91529.0,6,1,6.555299413300702,15254.833333333334,1667.0
Birim Central Municipal,Eastern,76244.0,5,3,6.557893080111222,15248.8,2000.0
