active_ingredient,count
ferrous gluconate (iron) / manganese gluconate (manganese) /copper gluconate (copper),4
amoxicillin+clavulanate potassium,4
cyproheptadine hcl/thiamine hcl/riboflavin/pyridoxine hcl/calcium pantothenate,3
chlopromazine,3
levamisole hcl,3
aspirin/ caffeine,3
levonorgestrel/ethinylestradiol,3
mineral elements,3
insulin aspart,3
phenylbutazone,3
quatiapine,3
mefenamic acid b.p /dicyclomine hcl b.p,3
terbutaline sulfate b.p/bromhexine hydrochloride b.p/guaifenesin,3
oxytetracycline hydrochloride/ neomycin sulphate/ vitamin a/ vitamin d3/ vitamin e/ vitamin k3/ vitamin b1/ vitamin b2/ vitamin b12/ biotin/ calcium pantothenate/ nicotinamide,3
paracetamol/diclofenac potassium/caffeine,3
domperidone,3
sulphamethoxazole b.p/trimethoprim,3
budesonide/formoterol fumarate,3
metronidazole/ clotrimazole/ lactic acid bacillus,3
hydrocortisone,3
pancreatin,3
vitamin c /biotin/dry berberis aristate root/chromic chloride hexahydrate/chromium picolate/dry cinnamomum cassia stem bark/ gymnema sylvestre leaf dry extract/gymnema sylvestre leaf dry extract/silybum marianum seed dry extract,3
metronidazole benzoate,3
neomycin sulfate/ dexamethasone sodium phosphate,3
cetirizine hydrochloride,3
arthemether/lumefantrine,3
myo-inositol/ d-chiro inositol,3
liquorice dry extract/menthol bp eucalyptus oil bp aniseed oil (anise oil) bp peppermint oil,3
multivitamins/multiminerals/amino acid/ginseng,3
fish oil/poviding eicopentaenoic acid (epa)/docohexaenoic acid (dha)/vitamin e,3
vitamin a/ vitamin d3/ vitamin e/ vitamin k3/ vitamin b1/ vitamin b2 vitamin 86 l80mg vitamin b12/ lysine/ methionine/ arginine/ threonine/ epimedium/ chinese angelica/ chrysotilum/ leonurus,3
lisinopril dihydrate bp,3
metoprolol succinate,3
linezolid,3
dapoxetine hydrochloride,3
tretinoin,3
propionic acid/ benzoic acid/ sorbic acid/ acetic acid/ hydrated sodium calcium aluminosilicates,3
folate/vitamin b12,3
vitamin a/vitamin c/vitamin e /zinc /bilberryextract /lutein /zeaxanthin,3
vit a/vit d3/vit e/vit c/vit b1/vit b2/vit b3/vit b6/vit b12/folic acid/vit b5/iron/magnesium/manganese/copper/chromium/selenium/zinc/bilberry extract/resveratrol/zeaxanthin/lycopene/rutin,3
iron(iii) polymaltose/folic acid/vitamin b12/zinc sulphate monohydrate,3
lidocaine / adrenaline,3
glimepiride/metformin hydrochloride,3
ranolazine,3
betamethasone/gentamycin /tolnaftate/iodochlohydroxygunoline,3
clopidol,3
montelukast,3
human albumin,3
dexamethasone/tobramycin,3
"amoxicillin, clavulante potassium and microcrystalline cellulose (1:1)",3
mesalazine,3
lisinopril,3
atezolizumab,3
lenalidomide,3
darunavir,3
paracetamol/ caffeine,3
polygeline with electrolytes,3
ferrous glycine sulphate/ l-histidine hydrochloride monohydrate/ l-lysine hydrochloride/ thiamine hydrochloride/ riboflavin/ pyridoxine hydrochloride/ nicotinamide/ d-panthenol/ cyanocobalamin/ folic acid,3
zinc sulphate,3
vitamin b1/ vitamin b2/ vitamin b6/ vitamin b12/ nicotinamide/ calcium pantothenate/ folic acid/ choline bitartrate/ biotin/ inositol,3
diphenhydramine hydrochloride,3
methyl salicylate,3
terbinafine hydrochloride,3
aipelisib,3
"2,4-dichlorobenzylalcohol/ amylmetacresol/ vitamin c",3
l-leucine/l-isoleucine/l-lysine hydrochloride/l-phenylalanine/l-threonine/l-methionine/l-tryptophan/l-valine/thiamine hydrochloride/riboflavin/pyridoxine hydrochloride/nicotinamide/calcium pantothenate/cyanocobalamin/folic acid/ascorbic acid,3
piperazine citrate,3
vitamin a/vitamin c/vitamin d/vitamin e/thiamin /riboflavi/niacin/vitamin b6/folate/vitamin b12 /biotin/pantothenic acid/calcium,3
calcium/magnesium/zinc/vitamin d,3
guaifenesin,3
menthol/peppermint oil,3
vit a/vit d3/vit e/vit b1/vit b2/vit b3/vit b5/vit b6/vit b9/vit b12/vit c/calcium/phosphorus/copper/iodine/magnesium/manganese/potassium/zinc/ferrous fumarate/ ginseng ext 2500iu/200iu/5mg/1mg/1.5mg/10mg/5mg/1mg/0.150mg/1mcg/50mg/75mg/58mg/0.5mg/0.1mg/3mg/0.5mg/2mg/10mg/30mg/42.5mg,3
cyproheptadine hydrochloride/ vitamin b1/ vitamin b2/ vitamin b6/ calcium pantothenate,3
quetiapine,3
ceftriaxone + salbactam,3
calcium citrate/vitamin d3/magnesium hydroxide/vitamin k2-7/zinc sulphate monohydrate,3
docetaxel,3
albendazole usp,3
tramadol,3
phenobarbital sodium,3
sulfadimidine sodium,3
bisoprolol+amlodipine,3
levothyroxine sodium,3
erythromycin,3
vildagliptin/metformin hydrochloride,3
iron (iii) hydroxide polymaltose complex eq. to elemental iron/ folic acid/ vitamin b12 (cyanocobalamin)/ vitamin b6 (pyridoxine)/ vitamin c (ascorbic acid)/ zinc (as zinc sulphate),3
lutein/zeaxanthin,3
vit a/vit b2/vit b2/vit b3/vit b6/vit b12/biotin/folic acid/vit b5/vit c/vit d3/vit e/vit k,3
follitropin alfa,3
magnesium trisilicate/light magnessium carbonate/sodium bicarbonate,3
paracetamol/ quinine bisulphate bp,3
ibuprofen/paracetamol/caffeine,3
flucoxacillin sodium,3
ciprofloxacin hydrochloride monohydrate,3
cyproheptadine hcl / lysine hcl/ thiamine hcl/ pyridoxine hcl / nicotinamide / dexpanthenol,3
