chain,outlets,total_pop_served,mmda_count,regions,pop_per_outlet,avg_mmda_pop
SPRING PHARMACEUTICALS LTD,1,31671.5,1,1,31671.5,31671.5
HELEN PHARMACY LTD.,2,31291.666666666668,1,1,15645.833333333334,31291.666666666668
East Cantonments Pharmacy,22,31136.562115093646,9,5,1415.2982779588021,3459.618012788183
ROYAL CARE PHARMACY LTD,2,30831.583333333336,2,1,15415.791666666668,15415.791666666668
SELACK PHARMACY,1,30753.333333333332,1,1,30753.333333333332,30753.333333333332
FLY ZIPLINE GH LTD,1,30751.5,1,1,30751.5,30751.5
PERFECT PS PHARMACY LIMITED,1,30751.5,1,1,30751.5,30751.5
HEALTHSTAR PHARMACY,2,30539.0,2,1,15269.5,15269.5
MAALYIRI PHARMACY,1,30398.0,1,1,30398.0,30398.0
LIFE-LINK PHARMACY,1,30398.0,1,1,30398.0,30398.0
YOBO PHARMACY LTD,1,30398.0,1,1,30398.0,30398.0
HARIPEL PHARMACY,1,30383.5,1,1,30383.5,30383.5
GYISBIN PHARMACY LTD,1,30383.5,1,1,30383.5,30383.5
AMASEY PHARMACY LTD.,1,30383.5,1,1,30383.5,30383.5
APT PHARMACY LTD,1,30383.5,1,1,30383.5,30383.5
TOFFEY PHARMACY,1,30312.25,1,1,30312.25,30312.25
NORTHERN GATE PHARMACEUTIC,1,29868.5,1,1,29868.5,29868.5
SELIMED PHARMACY LTD,1,29868.5,1,1,29868.5,29868.5
ALTINATET PHARMACY LTD,1,29214.0,1,1,29214.0,29214.0
EXTRA LIFE PHARMACY,1,29214.0,1,1,29214.0,29214.0
SIX STARS PHARMACY,4,29096.6875,2,1,7274.171875,14548.34375
HABILAT PHARMACY,2,28746.782352941176,2,2,14373.391176470588,14373.391176470588
SABU-DAV PHARMACY,1,28743.0,1,1,28743.0,28743.0
BLUESTAR PHARMACY,1,28743.0,1,1,28743.0,28743.0
BLUESTAR PHARMACY LTD,1,28743.0,1,1,28743.0,28743.0
KYDES PHARMACEUTICALS LTD.,1,28743.0,1,1,28743.0,28743.0
JACOM COMPANY LTD,1,28053.5,1,1,28053.5,28053.5
DRUGGS AND SURGICALS LTD,1,28053.5,1,1,28053.5,28053.5
10 O'CLOCK PHARMACY,1,28053.5,1,1,28053.5,28053.5
BENKEK PHARMACY LTD,1,28053.5,1,1,28053.5,28053.5
KUBAID PHARMACY LTD,1,27881.0,1,1,27881.0,27881.0
MEDICAP PHARMACY,1,27881.0,1,1,27881.0,27881.0
SHAKINGS PHARMACY LTD,1,27881.0,1,1,27881.0,27881.0
BENONOX RX PHARMACY LTD,1,27824.25,1,1,27824.25,27824.25
SELINA PHARMACY,1,27824.25,1,1,27824.25,27824.25
KEPPRA PHARMACY,1,27824.25,1,1,27824.25,27824.25
JUAPONG PHARMACY LTD.,1,27824.25,1,1,27824.25,27824.25
HEALTHMART PHARMACY MALL L,1,27692.166666666668,1,1,27692.166666666668,27692.166666666668
HIS BANNER PHARMACY,1,27692.166666666668,1,1,27692.166666666668,27692.166666666668
NAT AND SONS PHARMACY LTD,1,27692.166666666668,1,1,27692.166666666668,27692.166666666668
MAPLE LEAF CHEMIST,1,27692.166666666668,1,1,27692.166666666668,27692.166666666668
MARTINOS PHARMACY,1,27692.166666666668,1,1,27692.166666666668,27692.166666666668
BIJOU PHARMACY LTD,1,27692.166666666668,1,1,27692.166666666668,27692.166666666668
TOP IN TOWN PHARMACY,1,27621.5,1,1,27621.5,27621.5
FIRM PHARMACY LTD,1,27621.5,1,1,27621.5,27621.5
HOUSE OF PROVIDENCE PHARMA,1,27621.5,1,1,27621.5,27621.5
NAT & SONS PHARMACY LTD.,2,27328.805555555555,2,2,13664.402777777777,13664.402777777777
GREEN PEA PHARMACY LTD.,1,26566.0,1,1,26566.0,26566.0
SANTOS CHEMISTS LTD.,1,26566.0,1,1,26566.0,26566.0
KAFERI PHARMACY,1,26219.8,1,1,26219.8,26219.8
MAXXIS PHARMACY,1,26219.8,1,1,26219.8,26219.8
MADIBRA PHARMACY,1,26219.8,1,1,26219.8,26219.8
ADMAK PHARMACY,1,26219.8,1,1,26219.8,26219.8
WALGREENS PHARMACY LTD,1,25585.666666666668,1,1,25585.666666666668,25585.666666666668
ANSTAND CHEMISTS LTD.,1,25585.666666666668,1,1,25585.666666666668,25585.666666666668
SAM-WASS PHARMACY LTD,1,25225.5,1,1,25225.5,25225.5
RAHMA PHARMACY,1,25225.5,1,1,25225.5,25225.5
BENZU PHARMACY,1,24969.25,1,1,24969.25,24969.25
SKAD-D PHARMACY LTD,2,24945.8,1,1,12472.9,24945.8
NORTHERN GATE PHARMACY,1,24589.666666666668,1,1,24589.666666666668,24589.666666666668
TRUTH PHARMACEUTICALS CO.LT,1,24589.666666666668,1,1,24589.666666666668,24589.666666666668
CLEVACARE PHARMACY LTD,1,24589.666666666668,1,1,24589.666666666668,24589.666666666668
OUR LADY OF LOURDES PHARMAC,1,24419.2,1,1,24419.2,24419.2
SAMGINA PHARMA LTD,1,24419.2,1,1,24419.2,24419.2
SERECA PHARMACY,1,24419.2,1,1,24419.2,24419.2
VIK-TEE PHARMACY LTD.,1,24419.2,1,1,24419.2,24419.2
STELLEX PHARMACY,2,24411.857142857145,2,2,12205.928571428572,12205.928571428572
LOVE GENERATION PHARMACY LT,1,23968.5,1,1,23968.5,23968.5
A. K. GLOBAL PHARMACEUTICALS,1,23968.5,1,1,23968.5,23968.5
WINNETTE PHARMACY LTD,1,23353.75,1,1,23353.75,23353.75
ARCHIDOP PHARMACY,1,23353.75,1,1,23353.75,23353.75
