region,district,urbrur,population
Upper East,Garu,Rural,59846
Eastern,Akyemansa,Rural,59755
North East,Bunkpurugu Nakpanduri,Rural,59498
Eastern,Nsawam Adoagyiri Municipal,Rural,59480
Eastern,Suhum Municipal,Urban,59425
Oti,Nkwanta North (Kpassa),Rural,59205
Eastern,Akwapim North Municipal,Urban,58923
Bono East,Kintampo North Municipal,Rural,58453
Eastern,Yilo Krobo Municipal,Urban,57985
Bono,Tain,Rural,57885
Bono,Tain,Urban,57645
Northern,Nanumba North Municipal,Urban,57592
Upper West,Wa Municipal,Rural,57482
Ashanti,Asante Akim North Municipal,Urban,57173
North East,Yunyoo Nasuan,Rural,56931
Central,Upper Denkyira East Municipal,Urban,56901
Volta,Akatsi South Municipal,Rural,56874
Upper West,Sissala West,Rural,56252
Oti,Krachi Nchumuru,Rural,56079
Eastern,Birim North,Rural,55962
North East,Mamprugu Moagduri,Rural,55840
Western,Wassa Amenfi West Municipal,Urban,55651
Ashanti,Atwima Nwabiagya South Municipal,Rural,55343
Ashanti,Atwima Nwabiagya North,Rural,54693
Upper East,Pusiga,Rural,54641
Ashanti,Mampong Municipal,Rural,54552
Central,Mfantsiman Municipal,Rural,54476
Bono East,Techiman Municipal,Rural,54218
Western North,Sefwi Akontombra,Rural,54218
Volta,Ho Municipal,Rural,53994
Central,Upper Denkyira East Municipal,Rural,53222
Western North,Bia East,Rural,53132
Upper East,Nabdam,Rural,53040
Central,Gomoa West,Urban,52919
Upper East,Bolgatanga Municipal,Rural,52786
Greater Accra,Ayawaso East Municipal,Urban,52780
Eastern,Denkyembuor,Urban,52428
Bono East,Sene West,Rural,52082
Eastern,Kwahu Afram Plains North,Rural,51946
Eastern,Kwaebibirem Municipal,Urban,51463
Central,Agona East,Rural,51281
Eastern,West Akim Municipal,Rural,51099
Bono East,Nkoranza South Municipal,Rural,51013
Ashanti,Ahafo Ano South West,Rural,50961
Eastern,Kwahu West Municipal,Rural,50944
Upper East,Builsa North Municipal,Rural,50710
Central,Abura Asebu Kwamankese,Urban,50504
Ashanti,Ejura Sekyedumase Municipal,Rural,50493
Greater Accra,Ada East,Rural,49988
Oti,Kadjebi,Rural,49806
Central,Assin Fosu Municipal,Urban,49663
Ashanti,Sekyere Central,Rural,49624
Ahafo,Tano South Municipal,Urban,49488
Eastern,Upper Manya Krobo,Rural,49106
Upper West,Lawra Municipal,Rural,49007
Bono,Dormaa East,Urban,48980
Volta,North Tongu,Urban,48809
Ashanti,Bekwai Municipal,Urban,48757
Volta,Keta Municipal,Urban,48193
Ahafo,Tano North Municipal,Urban,48102
Ashanti,Ahafo Ano South East,Rural,47798
Ashanti,Kwabre East,Rural,47750
Central,Twifo Heman Lower Denkyira,Rural,47490
Eastern,Kwahu Afram Plains South,Rural,47481
Eastern,Abuakwa South Municipal,Rural,47466
Central,Agona East,Urban,47452
Volta,Ketu North Municipal,Urban,47111
Bono,Jaman North,Rural,46498
Oti,Krachi West Municipal,Rural,46475
Ashanti,Sekyere East,Urban,46418
Eastern,Akwapim North Municipal,Rural,46362
Eastern,Akwapim South Municipal,Rural,46152
Ahafo,Tano North Municipal,Rural,45773
Northern,Savelugu Municipal,Rural,45519
Greater Accra,Shai-Osudoku,Urban,45317
Oti,Jasikan Municipal,Rural,45158
Oti,Biakoye,Rural,45153
Bono,Dormaa Central Municipal,Urban,44920
Eastern,Kwahu East,Rural,44860
Ashanti,Offinso North,Urban,44662
Upper West,Nandom,Rural,44480
Bono East,Nkoranza North,Rural,44375
Eastern,Kwahu South Municipal,Rural,44214
Ashanti,Afigya Kwabre North,Urban,44080
Central,Ekumfi,Rural,43462
Savannah,North Gonja,Rural,43431
Western North,Bodi,Rural,43420
Greater Accra,Ningo-Prampram,Rural,43317
Upper West,Lambussie Karni,Rural,43293
Greater Accra,Ada West,Rural,42720
Central,Ajumako Enyan Essiam,Urban,42347
Savannah,Central Gonja,Urban,42136
Ashanti,Juaben Municipal,Rural,41488
Western,Shama,Rural,41466
Western,Wassa Amenfi East Municipal,Urban,41399
Eastern,Abuakwa South Municipal,Urban,41296
Eastern,Asene Manso Akroso,Urban,41189
Eastern,Okere,Rural,41116
Eastern,Atiwa West,Rural,40959
Central,Gomoa East,Rural,40902
Ashanti,Amansie West,Urban,39888
Volta,North Dayi,Rural,39642
Volta,South Dayi,Rural,39615
Central,Assin Fosu Municipal,Rural,39555
Savannah,North East Gonja,Rural,39480
Savannah,Bole,Urban,39188
Eastern,Atiwa East,Rural,39087
Savannah,West Gonja,Urban,39076
Upper East,Bawku Municipal,Rural,39000
Ashanti,Offinso North,Rural,38982
Bono East,Pru West,Rural,38975
Oti,Nkwanta South Municipal,Urban,38941
Bono,Jaman South,Urban,38888
Volta,Adaklu,Rural,38752
