client_clean,total_products,drug_products,food_products,countries_sourced,local_products,valid_products,import_pct,drug_pct
"Relish Co. Limited., Accra",22,0,22,14,0,22,100.0,0.0
Indus Lifesciences Pvt. Limited,22,22,0,3,2,19,90.9,100.0
"Dolphin Frozen Foods Limited., Tema",22,0,21,13,0,22,100.0,0.0
Ernest Chemists Limited Gl-116-6030 7Th Floor 215 South Liberation Link Nester Square Airport City P O Box 3345 Accra,22,22,0,0,0,22,100.0,100.0
"Bell, Sons & Co",22,22,0,2,0,22,100.0,100.0
Forever Living Products Ghana Limited,22,22,0,2,0,22,100.0,100.0
"Thornton And Ross Limited - Linthwaite Laboratories Manchester Road Huddersfield Hd7 5Qh United Kingdom , United Kingdom",22,22,0,1,0,5,100.0,100.0
Unichem Industries Limited,22,22,0,2,11,21,50.0,100.0
"All Pharma Limited - P. O Box 1407 Reinzu House Off Mission Street Osu, Ghana",22,22,0,2,0,22,100.0,100.0
"M & G Pharmaceuticals Limited - D446/1, Bannerman Road, James Town Accra",22,22,0,2,12,22,45.5,100.0
"Greenwood Supply., Accra",22,0,12,10,0,14,100.0,0.0
Nutra Healthcare Limited,21,20,0,1,0,21,100.0,95.2
Costless Ventures,21,0,0,1,0,21,100.0,0.0
Jamjoom Pharmaceuticals Company,21,21,0,3,1,16,95.2,100.0
"Maybek Services Limited., Tema",21,0,21,3,0,21,100.0,0.0
"Tokuma Limited. Co., Mankessim, C/R",21,0,20,5,0,21,100.0,0.0
"Eskay Therapeutics Limited - 42 South Lndustrial Area Accra Ghana, Select",21,21,0,2,5,21,76.2,100.0
"Ashvet Ghana Co. Limited., Kumasi, A/R",21,21,0,3,0,21,100.0,100.0
Sdg P Mocent Pharmacy,21,21,0,2,1,21,95.2,100.0
"Menad Ventures., Accra",21,0,21,1,0,21,100.0,0.0
Gr Industries Limited,21,21,0,2,10,21,52.4,100.0
"Cipla Limited, Cipla House Peninsula Business Park, Garpatrao Kadam Mary Lower Parel Mumbai 400013, India",20,20,0,2,0,19,100.0,100.0
"Exeter Health Limited - Queensgate House 48 Queen Street Exeter Devon Ex4 3Sr , United Kingdom",20,20,0,1,0,20,100.0,100.0
Exeter Health Limited,20,18,0,2,0,20,100.0,90.0
"""Bayer West Central Africa S A Ghana Representative Office 9Th Floor Emporium",20,20,0,4,0,20,100.0,100.0
Medreich,20,20,0,2,0,20,100.0,100.0
Vitabiotics Limited 1 Apsley Way London Nw27Hg United Kingdom,20,17,0,1,0,12,100.0,85.0
Ciron Drugs And Pharmaceuticals Pvt. Limited,20,20,0,1,0,18,100.0,100.0
"Troge Medical Gmbh - 19 Milchstrasse 20148 Hamburg , Germany",20,20,0,2,0,20,100.0,100.0
"Izako Limited., Tema",20,0,18,6,0,9,100.0,0.0
"Tradepass Commodities Limited., Accra",20,0,20,8,0,20,100.0,0.0
"Frankatson Limited., Kaneshie",19,17,2,3,0,19,100.0,89.5
"Whitelane Limited., Accra",19,0,16,8,0,18,100.0,0.0
"Multibrands Gh. Limited., Accra",19,0,18,3,0,19,100.0,0.0
"Astrazeneca Uk Limited Charter Way, Macclesfield Sk10 2Na, United Kingdom",19,19,0,4,0,16,100.0,100.0
Shalina Helathcare Ghana Limited,19,19,0,3,0,19,100.0,100.0
"Suave Foods Limited., Accra",19,0,18,3,0,14,100.0,0.0
Glenmark Pharmaceuticals Limited B/2 Mahalaxmi Chambers 22 Bhalabhai Desai,19,19,0,0,0,19,100.0,100.0
"Precious Coldstore Limited. Accra, G/R",19,0,19,3,0,19,100.0,0.0
Roxin Ghana Limited,19,19,0,1,0,19,100.0,100.0
"Melson Supermarket Limited., Accra",19,0,19,6,0,13,100.0,0.0
Samospharma Limited,19,19,0,1,0,19,100.0,100.0
"Say Cheers Limited., Accra",19,0,19,5,0,11,100.0,0.0
"Otsuka Pharmaceutical Limited, Survey No. 199 To",19,19,0,1,0,17,100.0,100.0
Wealth In Limited,18,0,9,2,0,18,100.0,0.0
"V N Commodities Limited., Accra",18,0,10,5,0,18,100.0,0.0
"Gb Pharma Limited - 65 Chatsworth Road London Nw2 4Bg, United Kingdom",18,18,0,1,0,18,100.0,100.0
"Vav Commodities Gh. Limited., Accra",18,0,11,8,0,18,100.0,0.0
"Westco Investment Limited., Accra",18,0,18,7,1,13,94.4,0.0
"Quick & Fine Co. Limited., Accra",18,0,15,5,0,18,100.0,0.0
"Meyer Organics Private Limited - A-177 Road No 16/Z Wagle Estate Thane 400604 Maharashtra , India",18,17,0,1,0,18,100.0,94.4
Yogi Pharmaceuticals Limited - P. O. Box An 8324 Accra North Ghana,18,18,0,1,0,18,100.0,100.0
Hamsglobe Limited,18,12,0,1,0,18,100.0,66.7
"Guinness Ghana Breweries Plc, Accra",18,0,18,6,3,12,83.3,0.0
"Arkadas Ent., Tema",17,0,5,9,0,17,100.0,0.0
"Bulls Arrow Co. Limited., Kumasi, A/R",17,0,16,8,0,16,100.0,0.0
"C.H.F Heron Gh. Limited., Accra",17,0,17,4,0,17,100.0,0.0
Globion India Private Limited,17,16,0,1,0,17,100.0,94.1
Intravenous Infusions Limited,17,17,0,1,15,17,11.8,100.0
"Biotic Company Limitd, 1St Junction, Teshie Nungua Estates",17,17,0,3,0,17,100.0,100.0
Yellow And Orange Pharmacy Limited,17,17,0,1,0,16,100.0,100.0
"Ernest Chemists Limited - Gl-116-6030, 7Th Floor",17,17,0,1,5,17,70.6,100.0
Bharat Serums And Vaccines Limited,17,17,0,2,0,16,100.0,100.0
"K. Sarpong Frozen Foods., Accra",17,0,17,1,17,17,0.0,0.0
"Hamta & Sons Limited., Kumasi, A/R",17,0,13,3,0,15,100.0,0.0
Das Pharma Limited,17,17,0,1,8,17,52.9,100.0
Pharmevo Pvt,16,16,0,2,0,15,100.0,100.0
"Promasidor Gh. Limited., Accra",16,0,16,2,15,12,6.2,0.0
Deza Hwe Trading Limited Company,16,0,10,9,0,16,100.0,0.0
Socomed Pharma Pvt Limited,16,16,0,3,2,10,87.5,100.0
Udvell Therapeutics Private Limited 2 Floor Opp Badminton Academy Doon University Road Dehradun Uttarakhand 248001 India,16,16,0,0,0,16,100.0,100.0
Tobinco Pharmaceutical Limited,16,13,0,1,0,14,100.0,81.2
"F Hoffman La Roche Limited Wurmisweg 4303 Kaiseraugst, Switzerland",16,16,0,1,0,16,100.0,100.0
Jocovet Company Limited,16,16,0,0,0,16,100.0,100.0
"Artirmak Ent., Accra",16,0,4,8,0,16,100.0,0.0
"Carmensita Gh. Limited., Tema, G/R",16,0,16,6,0,16,100.0,0.0
Serum Institute Of India Private Limited,16,16,0,1,0,15,100.0,100.0
"Stedak Marketing Services., Accra",16,0,16,1,0,15,100.0,0.0
Afrique Healthcare Pvt,16,16,0,2,0,16,100.0,100.0
Msd,15,15,0,5,0,14,100.0,100.0
Cedar Point Chemist,15,15,0,1,0,12,100.0,100.0
"Equator Foods Ghana Limited., Accra",15,0,15,1,15,15,0.0,0.0
"Cbl West Africa Limited., Accra",15,0,15,2,14,14,6.7,0.0
Phillips Pharmaceuticals,15,15,0,2,0,10,100.0,100.0
Getz Pharma Pvt Limited,15,15,0,3,0,15,100.0,100.0
"Renie Chemist Limited - 36, Odanata Street, Asylum Down, Accra",15,15,0,2,0,15,100.0,100.0
"Cachet Pharmaceuticals Pvt Limited 415 Shah Nahar Dr E Moses Road Worli Mumbai, Maharashtra 400018 India",15,15,0,1,0,8,100.0,100.0
"Poultrade Co. Limited., Tema",15,0,15,4,0,15,100.0,0.0
"Edmarker Ghana Limited., Accra",15,1,14,1,0,10,100.0,6.7
"Adepa Fishing Co. Limited. Accra, G/R",15,0,15,5,0,15,100.0,0.0
Osons Chemist Limited,15,15,0,1,0,14,100.0,100.0
"Mass Industries, Tema",15,0,14,1,15,15,0.0,0.0
"Deysark Co. Limited., Accra",15,0,15,8,1,12,93.3,0.0
Sandoz Pharmaceutical Dd Verovškova Ulica,15,15,0,2,0,13,100.0,100.0
"West Africa & Gulf Co. Limited., Accra",15,0,15,5,0,14,100.0,0.0
Tema Mill Store Limited,15,0,15,7,0,15,100.0,0.0
"Bacl Gh. Limited., Accra",15,0,15,4,0,12,100.0,0.0
Pharmanova Limited,15,14,0,1,0,15,100.0,93.3
Preet Remedies Limited,15,15,0,1,0,15,100.0,100.0
Axa Parenterals Limited Plot No,15,15,0,1,0,14,100.0,100.0
"Emcure Pharmaceutical Limited Emcure House, T 184, Midc Rd, Bhosari, Pimpri-Chinchwad, Maharashtra 411026, India",14,14,0,1,0,14,100.0,100.0
"Olam Agri Ghana Limited, Accra, Ga/R",14,0,14,4,1,14,92.9,0.0
Oa & J Pharmaceuticals Limited,14,13,0,2,1,14,92.9,92.9
"Atnahs Pharma Uk Limited. - Sovereign House, Miles Gray Road, Basildon, Ss14 3Fr,, United Kingdom",14,11,0,3,0,14,100.0,78.6
Nuri Foods,14,0,14,10,0,14,100.0,0.0
Omer Investment Limited,14,14,0,1,12,14,14.3,100.0
"Double A. Co. Limited., Accra",14,0,14,5,0,14,100.0,0.0
Pfizer Specialities Limitesd 7Th Floor 21 Luggard V Ikoyi Lagos Nigeria,14,14,0,6,0,11,100.0,100.0
"Sky Agro And Aquaculture Solutions Limited., Accra, Ga/R",14,0,14,4,2,14,85.7,0.0
"No Lemon Limited, Takoradi, W/R",14,0,14,5,0,14,100.0,0.0
Akoaka Enterprise,14,0,14,3,0,14,100.0,0.0
"Menkish Impex Limited., Accra",14,0,11,4,0,14,100.0,0.0
"Suncity Farms Limited, Ve Deme, V/R",14,0,14,1,12,11,14.3,0.0
"Pinnacle Lifesciences Pvt. Limited 3Rd Floor, Mahendra Industrial Estate",14,14,0,1,0,14,100.0,100.0
"Net - Zero Frozen Coldstore, Tema G/R",14,0,14,1,0,14,100.0,0.0
Vitabiotics Limited,14,14,0,1,0,14,100.0,100.0
Entrance Pharmaceuticals & Research Centre No 16 Okpoi Gonno Spintex Road Accra,14,14,0,1,11,14,21.4,100.0
"Poultrade Gh. Limited., Tema",14,0,14,7,0,14,100.0,0.0
"Vav Fisheries Ghana Limited, Accra",14,0,9,7,0,14,100.0,0.0
"Maxmart Limited., Accra",14,0,5,2,0,14,100.0,0.0
Parmarts Pharmacy,14,14,0,2,0,11,100.0,100.0
Bristol Foods,14,0,14,10,0,14,100.0,0.0
Egyptian International Pharmaceuticals Industries,14,14,0,1,0,8,100.0,100.0
Crosssphere Foods,14,0,14,10,0,14,100.0,0.0
Frost Vault Foods,14,0,14,10,0,14,100.0,0.0
Pfizer Specialities Ghana Limited .C/O Iqvia,13,13,0,3,0,11,100.0,100.0
"Hills Pharmaceuticals Limited, D470/4 Additrom Road, Adabraka Accra",13,13,0,2,0,13,100.0,100.0
"Indus Life Sciences Private Limited , No 24 1 Subramanian Street 600 018, Abhiramapuram Chennai Tamil Nadu,India",13,13,0,0,0,13,100.0,100.0
"Rebaj Impex Co. Limited., Accra",13,0,11,4,0,11,100.0,0.0
Exphar S.A Avenue Thomas Eddison 105 1402 Thines Belgium,13,13,0,1,0,13,100.0,100.0
"Klamath Co. Gh. Limited., Accra",13,0,7,7,0,13,100.0,0.0
Oaks Pharma,13,13,0,1,0,13,100.0,100.0
"Senes Pharma Co. Limited Michel Camp Road, Cam 2122 Tema/",13,13,0,1,0,12,100.0,100.0
"Unichem Laboratories Limited, Unichem Bharan Prabhat Estate S.V. Road Jogeshwan West Mumbai",13,13,0,1,0,12,100.0,100.0
All Pharma Ghana Limited,13,13,0,2,0,13,100.0,100.0
Dd Nutritions Private Limited Plot No 171 Ground Floor Pocket 10 Sector 24 Rohini Northwest Delhi-110085 India,13,13,0,0,0,13,100.0,100.0
Les Laboratories Servies,13,12,0,2,0,12,100.0,92.3
"Pristine Foods., Accra",13,0,13,1,13,13,0.0,0.0
"Cipla Limited - Cipla House Peninsula Business Park Ganpatrao Kadam Marg Lower Parel Mumbai 400013, India",13,13,0,2,0,13,100.0,100.0
Hpw Fresh & Dry Limited. Off Bawjiase - Adeiso Road. E/R,13,0,13,1,13,13,0.0,0.0
Kepro B.V,13,13,0,1,0,13,100.0,100.0
Base Pharmacy Co. Limited,13,13,0,2,1,13,92.3,100.0
Royal Dach Pharmaceuticals,13,13,0,1,0,13,100.0,100.0
Rolinet Ventures,13,0,0,1,0,13,100.0,0.0
Livestock And Agro Business Services,13,13,0,1,4,13,69.2,100.0
"Emb Foods Limited., Tema",12,0,5,10,0,12,100.0,0.0
Valora Exim Limited,12,0,12,3,0,11,100.0,0.0
Worldwide Healthcare Limited,12,12,0,3,1,10,91.7,100.0
72Nd Pharmacy Limited,12,12,0,2,0,2,100.0,100.0
Beiersdorf Ghana Limited 5Th Floor Grand Oyeeman Building South Liberation Link Airport Commercial,12,0,0,0,0,0,100.0,0.0
Aspee Pharmaceuticals Box 201 Ejisu Ashanti Region,12,10,0,1,6,11,50.0,83.3
"Bedita Pharmacy Limited., Accra",12,12,0,3,0,10,100.0,100.0
"Trance Logistics Limited., Accra",12,0,12,1,0,12,100.0,0.0
"Ob Supply Line Agency, Accra",12,0,11,2,0,12,100.0,0.0
"Forever Living Products - Forever Direct Eu 4751 Xj Oud Gastel Netherlands Uk , United Kingdom",12,12,0,2,0,7,100.0,100.0
"Fan Milk Plc., Accra",12,0,12,2,6,8,50.0,0.0
Mal Titi Chemists Limited,12,12,0,1,7,12,41.7,100.0
Yellow & Orange Pharmaceuticals,12,12,0,1,0,11,100.0,100.0
"Kofikrom Pharmacy Limited - Ssnit Flats A1/4,Dtd Sakumono Estates Community 13,Tema,Ghana, Select",12,12,0,1,0,10,100.0,100.0
